version,component,claim_code,claim,evidence_level,claim_type,source_ids,display_note
2026-06-18.2,Vitamina D,supports_vitamin_d_status,Componente directo para riesgo de vitamina D baja.,high,deficiency_replacement,nih_ods_vitamin_d_hp,Usar como componente principal si no hay safety critico.
2026-06-18.2,Vitamina B12,supports_b12_status,Componente directo para riesgo de B12 baja.,high,deficiency_replacement,nih_ods_vitamin_b12_hp,Especialmente relevante en dietas veganas/vegetarianas.
2026-06-18.2,Hierro,supports_iron_status,"Componente directo para hierro bajo, pero requiere dato objetivo.",high_with_lab,deficiency_replacement,nih_ods_iron_hp,No empujar compra directa sin laboratorio/señal objetiva.
2026-06-18.2,Magnesio,supports_magnesium_intake,Soporte para ingesta baja o señales compatibles.,moderate,deficiency_or_intake_support,nih_ods_magnesium_consumer,Cautela en enfermedad renal.
2026-06-18.2,Zinc,supports_zinc_status,Componente para riesgo de zinc bajo o soporte inmune contextual.,moderate,functional_support,nih_ods_zinc_hp|nih_ods_immune_function,Evitar uso prolongado sin supervisión.
2026-06-18.2,Calcio,supports_bone_health,Soporte contextual para salud ósea e ingesta baja.,moderate,bone_health_support,nih_ods_calcium_hp,Evaluar ingesta dietaria.
2026-06-18.3,Vitamina C,supports_vitamin_c_status,Componente directo cuando dieta o laboratorio sugieren vitamina C baja.,high,deficiency_or_dietary_gap_support,nih_ods_vitamin_c_hp,Priorizar dieta y no presentar como prevención de enfermedades.
2026-06-18.3,Acido folico,supports_folate_status,Componente directo para riesgo de folato bajo con cautela por B12.,high,deficiency_replacement,nih_ods_folate_hp,Revisar B12 si hay señales neurológicas o anemia no explicada.
2026-06-18.3,Proteina,supports_protein_gap,Apoyo nutricional cuando la encuesta estima brecha de proteína.,contextual,dietary_gap_support,nih_medlineplus_supplements,No usar como recomendación comercial en enfermedad renal.
2026-06-18.3,Selenio,antioxidant_immune_context,Participa en funciones antioxidantes e inmunes.,official_nutrient_role,structure_function,nih_ods_selenium_hp|nih_ods_immune_function,Evitar exceso y duplicación con multivitamínicos.
2026-06-18.3,Vitamina K,bone_clotting_context,Participa en coagulación normal y proteínas asociadas a hueso.,official_nutrient_role,safety_sensitive_nutrient,nih_ods_vitamin_k_hp,No cambiar consumo sin revisión si usa anticoagulantes.
2026-06-18.2,Omega 3,supports_dietary_gap,Soporte por baja ingesta de pescado/omega 3.,contextual,dietary_gap_support,nih_ods_omega3_hp,Revisar alergia pescado/anticoagulantes.
2026-06-18.2,Biotina,hair_skin_nails_context,Apoyo contextual para cabello/piel/uñas con evidencia limitada.,low_moderate,symptom_support,nih_ods_biotin_hp,No prometer resultados cosméticos.
2026-06-18.2,Melatonina,sleep_timing_context,"Apoyo contextual para sueño/ritmo, no tratamiento de insomnio crónico.",contextual,sleep_support,nccih_melatonin_sleep,Evitar en embarazo/lactancia sin profesional.
2026-06-18.2,Yodo,thyroid_sensitive,Nutriente sensible para tiroides.,contextual,safety_sensitive_nutrient,nih_ods_iodine_hp,No recomendar si hay problema tiroideo sin evaluación.
2026-06-18.2,Vitamina A,skin_vision_context,"Participa en visión, piel e inmunidad.",official_nutrient_role,structure_function,nih_ods_vitamin_a_hp,No exceder; evitar en embarazo/hepatopatía sin guía.
2026-06-18.2,Vitamina E,antioxidant_context,Actúa como antioxidante liposoluble.,official_nutrient_role,structure_function,nih_ods_vitamin_e_hp,Cautela con anticoagulantes.
