version,component,profile_role,adult_upper_limit,upper_limit_unit,upper_limit_note,dose_guidance,age_sex_note,pregnancy_lactation_note,contraindications,interaction_notes,safety_level,source_ids,rationale
2026-06-18.1,Vitamina D,core,4000,IU/day,Límite superior adulto de referencia; dosis depende de laboratorio y criterio profesional.,No entregar dosis prescriptiva; sugerir revisar etiqueta y niveles 25-OH si existen.,"Necesidades varían por edad, exposición solar y dieta.",Embarazo/lactancia requiere validación profesional.,hipercalcemia|enfermedad_renal,Puede interactuar con condiciones/medicación que afecten calcio.,moderate,nih_ods_vitamin_d_hp,Perfil usado para explicar cautela de vitamina D.
2026-06-18.1,Vitamina B12,core,,,No se establece UL por baja toxicidad reportada en fuentes ODS.,No entregar dosis prescriptiva; priorizar si dieta vegana/vegetariana o señales compatibles.,Riesgo de baja ingesta mayor en dietas veganas/vegetarianas y adultos mayores.,Validar con profesional si embarazo/lactancia.,,Puede coexistir con folato bajo; no sustituye evaluación clínica.,low,nih_ods_vitamin_b12_hp,Perfil usado para B12 como componente principal.
2026-06-18.1,Hierro,core,45,mg/day,UL adulto de referencia; exceso de hierro puede ser riesgoso.,No recomendar compra directa sin laboratorio o señal objetiva fuerte.,"Requerimientos varían por sexo, edad, menstruación y embarazo.",Embarazo requiere control profesional.,hemocromatosis|anemia_no_diagnosticada|enfermedad_hepatica,Separar de calcio; revisar interacciones y causa de anemia.,high,nih_ods_iron_hp,Hierro tiene mayor riesgo; requiere cautela y laboratorio.
2026-06-18.1,Magnesio,core,350,mg/day from supplements,"UL aplica a magnesio de suplementos, no al magnesio de alimentos.",No entregar dosis prescriptiva; revisar tolerancia gastrointestinal y función renal.,Requerimientos varían por edad/sexo.,Validar en embarazo/lactancia.,enfermedad_renal,Precaución con medicamentos y enfermedad renal.,moderate,nih_ods_magnesium_consumer,Perfil de magnesio para soporte y deficiencia probable.
2026-06-18.1,Zinc,core,40,mg/day,UL adulto de referencia; exceso puede afectar cobre y causar efectos adversos.,Evitar uso prolongado sin supervisión.,Requerimientos varían por edad/sexo.,Embarazo/lactancia requiere validación profesional.,,Puede interferir con algunos antibióticos y minerales.,moderate,nih_ods_zinc_hp,Perfil de zinc para deficiencia/inmunidad/cabello.
2026-06-18.1,Calcio,core,2000-2500,mg/day,UL adulto depende de edad; exceso puede aumentar riesgo de efectos adversos.,Evaluar ingesta dietaria antes de suplementar.,Requerimientos varían por edad/sexo.,Validar en embarazo/lactancia.,hipercalcemia|calculos_renales|enfermedad_renal,"Puede interferir con hierro, levotiroxina y algunos antibióticos.",moderate,nih_ods_calcium_hp,Perfil de calcio para salud ósea.
2026-06-18.1,Acido folico,core,1000,mcg/day synthetic folic acid,UL aplica a ácido fólico sintético; puede enmascarar deficiencia de B12.,No entregar dosis prescriptiva; revisar B12 si hay dudas.,Requerimientos varían por edad/sexo y embarazo.,Embarazo requiere control profesional.,deficit_b12_no_evaluado,Puede enmascarar signos hematológicos de B12 baja.,moderate,nih_ods_folate_hp,Perfil de folato/ácido fólico.
2026-06-18.1,Vitamina C,core,2000,mg/day,UL adulto de referencia.,Priorizar dieta; suplementación como apoyo contextual.,Requerimientos varían por edad/sexo y tabaquismo.,Validar en embarazo/lactancia.,calculos_renales_recurrentes,Dosis altas pueden causar molestias gastrointestinales.,low,nih_ods_vitamin_c_hp,Perfil de vitamina C.
2026-06-18.1,Omega 3,core,,,No se fija UL ODS general; altas dosis requieren cautela.,No entregar dosis prescriptiva; revisar origen marino y etiqueta.,Necesidad depende de consumo de pescado y dieta.,Embarazo/lactancia requiere elegir fuentes seguras y validación profesional.,alergia_pescado_mariscos,Precaución con anticoagulantes o cirugía próxima.,moderate,nih_ods_omega3_hp,Perfil de omega 3.
2026-06-18.1,Proteina,core,,,"No definir UL único; depende de dieta, riñón, objetivo y peso.","Usar solo para brecha dietaria estimada, no como prescripción.","Requerimientos dependen de peso, edad y actividad.",Validar en embarazo/lactancia.,enfermedad_renal,Revisar carga proteica si enfermedad renal.,moderate,nih_medlineplus_supplements,Perfil de proteína.
