version,component,age_min,age_max,sex,pregnancy,lactation,reference_intake,reference_unit,reference_type,upper_limit,upper_limit_unit,guidance_note,source_ids
2026-06-18.2,Vitamina D,19,70,any,no,no,15,mcg/day,RDA,100,mcg/day,Referencia adulta general; no sustituye indicacion basada en 25-OH vitamina D.,nih_ods_vitamin_d_hp
2026-06-18.2,Vitamina D,71,120,any,no,no,20,mcg/day,RDA,100,mcg/day,Referencia para adultos mayores; revisar laboratorio si existe.,nih_ods_vitamin_d_hp
2026-06-18.2,Vitamina D,14,50,female,yes,any,15,mcg/day,RDA,100,mcg/day,Embarazo requiere validacion profesional antes de suplementar.,nih_ods_vitamin_d_hp
2026-06-18.2,Vitamina D,14,50,female,any,yes,15,mcg/day,RDA,100,mcg/day,Lactancia requiere validacion profesional antes de suplementar.,nih_ods_vitamin_d_hp
2026-06-18.2,Vitamina B12,19,120,any,no,no,2.4,mcg/day,RDA,,,Referencia adulta; mayor relevancia si dieta vegana/vegetariana.,nih_ods_vitamin_b12_hp
2026-06-18.2,Vitamina B12,14,50,female,yes,any,2.6,mcg/day,RDA,,,Embarazo requiere seguimiento profesional.,nih_ods_vitamin_b12_hp
2026-06-18.2,Vitamina B12,14,50,female,any,yes,2.8,mcg/day,RDA,,,Lactancia requiere seguimiento profesional.,nih_ods_vitamin_b12_hp
2026-06-18.2,Hierro,19,50,male,no,no,8,mg/day,RDA,45,mg/day,No recomendar compra directa sin laboratorio o criterio profesional.,nih_ods_iron_hp
2026-06-18.2,Hierro,19,50,female,no,no,18,mg/day,RDA,45,mg/day,"Depende de menstruacion, ferritina/hemoglobina y causa de anemia.",nih_ods_iron_hp
2026-06-18.2,Hierro,51,120,any,no,no,8,mg/day,RDA,45,mg/day,Mayor cautela por riesgo de exceso si no hay deficiencia documentada.,nih_ods_iron_hp
2026-06-18.2,Hierro,14,50,female,yes,any,27,mg/day,RDA,45,mg/day,Embarazo requiere control profesional; no autogestionar dosis.,nih_ods_iron_hp
2026-06-18.2,Magnesio,19,30,male,no,no,400,mg/day,RDA,350,mg/day from supplements,UL aplica solo a magnesio de suplementos.,nih_ods_magnesium_consumer
2026-06-18.2,Magnesio,31,120,male,no,no,420,mg/day,RDA,350,mg/day from supplements,UL aplica solo a magnesio de suplementos.,nih_ods_magnesium_consumer
2026-06-18.2,Magnesio,19,30,female,no,no,310,mg/day,RDA,350,mg/day from supplements,UL aplica solo a magnesio de suplementos.,nih_ods_magnesium_consumer
2026-06-18.2,Magnesio,31,120,female,no,no,320,mg/day,RDA,350,mg/day from supplements,UL aplica solo a magnesio de suplementos.,nih_ods_magnesium_consumer
2026-06-18.2,Zinc,19,120,male,no,no,11,mg/day,RDA,40,mg/day,Evitar uso prolongado sin supervision.,nih_ods_zinc_hp
2026-06-18.2,Zinc,19,120,female,no,no,8,mg/day,RDA,40,mg/day,Evitar uso prolongado sin supervision.,nih_ods_zinc_hp
2026-06-18.2,Zinc,14,50,female,yes,any,11,mg/day,RDA,40,mg/day,Embarazo requiere validacion profesional.,nih_ods_zinc_hp
2026-06-18.2,Zinc,14,50,female,any,yes,12,mg/day,RDA,40,mg/day,Lactancia requiere validacion profesional.,nih_ods_zinc_hp
