version,component,interaction_type,trigger_field,trigger_value,severity,action,message,source_ids
2026-06-18.2,Vitamina K,medication,condiciones_seguridad,anticoagulantes,high,warn_or_block,Vitamina K requiere consistencia y revision profesional si usa anticoagulantes tipo warfarina.,nih_ods_vitamin_k_hp|fda_dietary_supplements
2026-06-18.2,Omega 3,medication,condiciones_seguridad,anticoagulantes,medium,warn,Omega 3 puede requerir cautela si usa anticoagulantes o antes de cirugia.,nih_ods_omega3_hp|fda_dietary_supplements
2026-06-18.2,Hierro,missing_lab,requires_lab,required,high,downgrade,Hierro no debe empujarse comercialmente sin ferritina/hemoglobina u otra señal objetiva.,nih_ods_iron_hp
2026-06-18.2,Yodo,condition,condiciones_seguridad,problema_tiroideo,high,block_commercial,Yodo es sensible en problemas tiroideos; requiere evaluacion profesional.,nih_ods_iodine_hp|medlineplus_thyroid_tests
2026-06-18.2,Magnesio,condition,condiciones_seguridad,enfermedad_renal,high,block_commercial,Magnesio requiere cautela en enfermedad renal.,nih_ods_magnesium_consumer|fda_dietary_supplements
2026-06-18.2,Calcio,condition,condiciones_seguridad,enfermedad_renal,high,block_commercial,Calcio requiere cautela en enfermedad renal o antecedentes de calculos.,nih_ods_calcium_hp|fda_dietary_supplements
2026-06-18.2,Proteina,condition,condiciones_seguridad,enfermedad_renal,high,block_commercial,Proteina suplementaria requiere evaluacion si hay enfermedad renal.,nih_medlineplus_supplements
2026-06-18.2,Biotina,lab_interference,lab_results,any,medium,warn,Biotina puede interferir con algunos resultados de laboratorio; informar uso antes de examenes.,nih_ods_biotin_hp
2026-06-18.2,Melatonina,special_population,condiciones_seguridad,embarazo_lactancia,high,block_commercial,Melatonina no debe recomendarse comercialmente en embarazo/lactancia sin evaluacion profesional.,nccih_melatonin_sleep
2026-06-18.2,Vitamina A,condition,condiciones_seguridad,embarazo,high,block_or_warn,Evitar vitamina A preformada sin evaluación profesional durante embarazo.,nih_ods_vitamin_a_hp
2026-06-18.2,Vitamina A,condition,condiciones_seguridad,enfermedad_hepatica,high,block_or_warn,Bandera hepática: no sugerir vitamina A suplementaria como producto comercial.,nih_ods_vitamin_a_hp|medlineplus_liver_tests
2026-06-18.2,Vitamina E,medication,condiciones_seguridad,anticoagulantes,high,block_or_warn,Vitamina E requiere cautela con anticoagulantes o trastornos de sangrado.,nih_ods_vitamin_e_hp
2026-06-18.2,Vitamina K,medication,condiciones_seguridad,anticoagulantes,high,block_or_warn,Vitamina K puede interferir con anticoagulantes tipo warfarina.,nih_ods_vitamin_k_hp
2026-06-18.2,Potasio,condition,condiciones_seguridad,enfermedad_renal,high,block,Riesgo renal: no sugerir potasio suplementario sin evaluación médica.,nih_ods_potassium_hp|medlineplus_creatinine_test
2026-06-18.2,Cromo,medication,condiciones_seguridad,diabetes_medicada,high,block_or_warn,Cromo requiere cautela si usa medicación para glucosa.,nih_ods_chromium_hp
2026-06-18.2,Cobre,condition,condiciones_seguridad,enfermedad_hepatica,high,block_or_warn,Cobre requiere cautela en enfermedad hepática o trastornos de acumulación.,nih_ods_copper_hp
2026-06-18.2,Probióticos,condition,condiciones_seguridad,inmunosupresion,high,warn,Probióticos requieren cautela si hay inmunosupresión o enfermedad grave.,nih_ods_probiotics_hp
2026-06-24.2,Sodio,condition,condiciones_seguridad,enfermedad_renal,high,block,Sodio/electrolitos no deben sugerirse como suplemento libre en enfermedad renal.,nih_ods_potassium_hp
2026-06-24.2,Sodio,condition,condiciones_seguridad,medicacion_cronica,medium,warn,Electrolitos pueden requerir revisión si hay medicación crónica o presión arterial sensible.,nih_ods_potassium_hp
2026-06-24.2,Bacillus coagulans,condition,condiciones_seguridad,medicacion_cronica,medium,warn,Probióticos requieren cautela en perfiles médicos o inmunológicos sensibles.,nih_ods_probiotics_hp
2026-06-24.2,Bifidobacterium longum,condition,condiciones_seguridad,medicacion_cronica,medium,warn,Probióticos requieren cautela en perfiles médicos o inmunológicos sensibles.,nih_ods_probiotics_hp
