condition_code,field,operator,value,weight
DEFICIT_VIT_D,exposicion_solar,eq,baja,0.30
DEFICIT_VIT_D,edad,gte,50,0.12
DEFICIT_VIT_D,tipo_dieta,in,vegano|vegetariano,0.10
DEFICIT_VIT_D,fatiga_general,gte,4,0.10
DEFICIT_VIT_D,meta_salud_osea,eq,1,0.12
DEFICIT_VIT_D,lab_vitamin_d_status,eq,low,0.60
DEFICIT_VIT_D,lab_vitamin_d_status,eq,critical_low,0.85
DEFICIT_B12,tipo_dieta,in,vegano|vegetariano,0.35
DEFICIT_B12,edad,gte,50,0.16
DEFICIT_B12,fatiga_general,gte,4,0.12
DEFICIT_B12,niebla_mental,gte,4,0.12
DEFICIT_B12,lab_b12_status,eq,low,0.65
DEFICIT_B12,lab_b12_status,eq,critical_low,0.85
DEFICIT_B12,benchmark_diet_b12_status,eq,low,0.36
DEFICIT_B12,benchmark_diet_b12_status,eq,critical_low,0.52
DEFICIT_HIERRO,sexo,eq,F,0.10
DEFICIT_HIERRO,fatiga_general,gte,4,0.15
DEFICIT_HIERRO,caida_cabello,gte,4,0.10
DEFICIT_HIERRO,nivel_actividad,in,activo|muy_activo,0.08
DEFICIT_HIERRO,meat_servings_week,lte,1,0.08
DEFICIT_HIERRO,lab_ferritin_status,eq,low,0.65
DEFICIT_HIERRO,lab_hemoglobin_status,eq,low,0.45
DEFICIT_MAGNESIO,calambres,gte,4,0.25
DEFICIT_MAGNESIO,dolor_muscular,gte,4,0.12
DEFICIT_MAGNESIO,problemas_sueno,gte,4,0.12
DEFICIT_MAGNESIO,irritabilidad,gte,4,0.10
DEFICIT_MAGNESIO,nivel_actividad,in,activo|muy_activo,0.10
DEFICIT_MAGNESIO,lab_magnesium_status,eq,low,0.65
DEFICIT_MAGNESIO,lab_magnesium_status,eq,critical_low,0.85
DEFICIT_MAGNESIO,benchmark_diet_magnesium_status,eq,low,0.44
DEFICIT_MAGNESIO,benchmark_diet_magnesium_status,eq,critical_low,0.62
BAJA_INMUNIDAD,enfermedad_frecuente,gte,4,0.30
BAJA_INMUNIDAD,dieta_deficiente,eq,1,0.18
BAJA_INMUNIDAD,problemas_sueno,gte,4,0.10
BAJA_INMUNIDAD,estres_alto,eq,1,0.10
BAJA_INMUNIDAD,lab_zinc_status,eq,low,0.55
RIESGO_SALUD_OSEA,edad,gte,50,0.24
RIESGO_SALUD_OSEA,exposicion_solar,eq,baja,0.18
RIESGO_SALUD_OSEA,meta_salud_osea,eq,1,0.18
RIESGO_SALUD_OSEA,tipo_dieta,in,vegano|vegetariano,0.08
RIESGO_SALUD_OSEA,lab_calcium_status,eq,low,0.45
RIESGO_SALUD_OSEA,lab_vitamin_d_status,eq,low,0.35
ESTRES_SUENO,problemas_sueno,gte,4,0.28
ESTRES_SUENO,irritabilidad,gte,4,0.22
ESTRES_SUENO,niebla_mental,gte,4,0.12
ESTRES_SUENO,fatiga_general,gte,4,0.10
ESTRES_SUENO,meta_cognitivo,eq,1,0.12
RENDIMIENTO_DEPORTIVO,nivel_actividad,in,activo|muy_activo,0.26
RENDIMIENTO_DEPORTIVO,meta_rendimiento,eq,1,0.24
RENDIMIENTO_DEPORTIVO,dolor_muscular,gte,4,0.14
RENDIMIENTO_DEPORTIVO,calambres,gte,4,0.10
RENDIMIENTO_DEPORTIVO,fatiga_general,gte,4,0.08
DEFICIT_FOLATO,lab_folate_status,eq,low,0.65
DEFICIT_FOLATO,lab_folate_status,eq,critical_low,0.85
DEFICIT_FOLATO,benchmark_diet_folate_status,eq,low,0.32
DEFICIT_FOLATO,benchmark_diet_folate_status,eq,critical_low,0.48
DEFICIT_FOLATO,dieta_deficiente,eq,1,0.18
DEFICIT_FOLATO,fatiga_general,gte,4,0.10
