relationship_id,component_id_a,component_name_a,component_id_b,component_name_b,relationship_group,relationship_class,relationship_subclass,mechanism,directionality,evidence_status,evidence_type,evidence_level,recommendation,confidence_level,requires_context
REL_6e3d60100b229c,COMP_80AE44850DC4,Aspirin,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,efecto_aditivo_peligroso,otro,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_7a7606e454bd0e,COMP_DDC56A4249E5,Ibuprofen,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_0d03aee8a754b2,COMP_A9136ADF22F7,Folic Acid,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_ecfc54ccf16f8e,COMP_C83325EA1704,Metformin,COMP_90AF93FFA118,Naproxen,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_2a92c162b7e685,COMP_07249C028641,Diclofenac,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_7bbca59cf296ca,COMP_5C76A77D0978,Indomethacin,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,efecto_aditivo_peligroso,otro,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_76e8d54641bfac,COMP_C83325EA1704,Metformin,COMP_781B4EA1D853,Selenium,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_ae6c02a71d735d,COMP_C83325EA1704,Metformin,COMP_FB0BFF3E6E21,Vitamin B6,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_9cc7af5fb35c94,COMP_C83325EA1704,Metformin,COMP_4F4F134A6B55,thiamine,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,concentracion_serica,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_22e4f455d32254,COMP_F3C5987AA984,eicosapentaenoic acid,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_8e70b385ad50e0,COMP_0987F386BB65,Carnitine,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,excrecion,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
REL_5616027b3af581,COMP_A204C673A9A2,Choline,COMP_C83325EA1704,Metformin,INTERACCION_VALIDADA,RIESGOSA,aumenta_concentracion,concentracion_serica,bidireccional_o_contextual,validada_en_fuentes_estructuradas,direct_structured_interaction,DrugBank interaction + AACT evidence for both components,monitorear_o_consultar_profesional,media_alta_si_fuente_estructurada_y_componentes_mapeados,true
