version,condition_code,component,evidence_strength,evidence_type,recommendation_role,requires_lab,risk_level,source_quality,missing_data_penalty,source_ids,rationale
2026-06-18.1,DEFICIT_VIT_D,Vitamina D,high,deficiency_replacement,primary,preferred,low_moderate,official_fact_sheet,0.05,nih_ods_vitamin_d_hp,Componente directo para riesgo de vitamina D baja; ideal confirmar o monitorear con 25-OH vitamina D.
2026-06-18.1,DEFICIT_B12,Vitamina B12,high,deficiency_replacement,primary,preferred,low,official_fact_sheet,0.05,nih_ods_vitamin_b12_hp,"Componente directo para riesgo de vitamina B12 baja, especialmente en dietas veganas/vegetarianas o señales compatibles."
2026-06-18.1,DEFICIT_HIERRO,Hierro,high,deficiency_replacement,primary_with_lab,required,moderate_high,official_fact_sheet,0.35,nih_ods_iron_hp,Hierro debe priorizarse solo con evidencia fuerte o laboratorio compatible por riesgo de exceso e interacciones.
2026-06-18.1,DEFICIT_MAGNESIO,Magnesio,moderate,deficiency_or_intake_support,primary,optional,low_moderate,official_consumer_fact_sheet,0.10,nih_ods_magnesium_consumer,Apoya riesgo de ingesta baja o señales compatibles; la evidencia depende del contexto dietario y clinico.
2026-06-18.1,BAJA_INMUNIDAD,Zinc,moderate,functional_support,supportive,no,low_moderate,official_fact_sheet,0.10,nih_ods_zinc_hp|nih_ods_immune_function,Soporte funcional inmune; no equivale a diagnostico de deficiencia.
2026-06-18.1,RIESGO_SALUD_OSEA,Calcio,contextual,bone_health_support,supportive,optional,low_moderate,official_fact_sheet,0.15,nih_ods_calcium_hp,"Soporte de salud osea dependiente de dieta, edad y contexto; no reemplaza evaluacion clinica."
2026-06-18.1,RIESGO_SALUD_OSEA,Vitamina D,contextual,bone_health_support,supportive,preferred,low_moderate,official_fact_sheet,0.12,nih_ods_vitamin_d_hp,Soporte de salud osea y metabolismo de calcio; ideal contrastar con exposicion solar o laboratorio.
2026-06-18.1,ESTRES_SUENO,Magnesio,low_moderate,symptom_support,supportive,no,low_moderate,official_consumer_fact_sheet,0.12,nih_ods_magnesium_consumer,Soporte contextual para estres/sueno; no diagnostica deficiencia.
2026-06-18.1,RENDIMIENTO_DEPORTIVO,Magnesio,low_moderate,performance_support,supportive,no,low_moderate,official_consumer_fact_sheet,0.10,nih_ods_magnesium_consumer,Soporte contextual para rendimiento/recuperacion si hay dieta o señales compatibles.
2026-06-18.1,DEFICIT_FOLATO,Acido folico,high,deficiency_replacement,primary,preferred,low_moderate,official_fact_sheet,0.08,nih_ods_folate_hp,Componente directo para riesgo de folato bajo; requiere cautela si hay dudas de B12 baja.
2026-06-18.1,DEFICIT_ZINC,Zinc,high,deficiency_replacement,primary,optional,low_moderate,official_fact_sheet,0.08,nih_ods_zinc_hp,Componente directo para riesgo de zinc bajo; evitar uso prolongado sin control.
2026-06-18.1,DEFICIT_CALCIO,Calcio,high,deficiency_replacement,primary,optional,low_moderate,official_fact_sheet,0.08,nih_ods_calcium_hp,"Componente directo para riesgo de calcio bajo, especialmente con baja ingesta dietaria."
2026-06-18.1,RIESGO_VITAMINA_C_BAJA,Vitamina C,contextual,dietary_gap_support,supportive,no,low,official_fact_sheet,0.12,nih_ods_vitamin_c_hp,Soporte por baja ingesta de frutas/verduras o señales blandas; priorizar mejora dietaria.
2026-06-18.1,RIESGO_OMEGA3_BAJO,Omega 3,contextual,dietary_gap_support,supportive,no,low_moderate,official_fact_sheet,0.12,nih_ods_omega3_hp,Soporte por baja ingesta de pescado/omega 3; revisar alergia a pescado o anticoagulantes.
2026-06-18.1,RIESGO_PROTEINA_INSUFICIENTE,Proteina,contextual,dietary_gap_support,supportive,no,low_moderate,medical_reference,0.15,nih_medlineplus_supplements,Soporte por brecha estimada de proteina; priorizar dieta y objetivo del usuario.
2026-06-18.1,RIESGO_CABELLO_PIEL_UNAS,Zinc,contextual,symptom_support,supportive,optional,low_moderate,official_fact_sheet,0.18,nih_ods_zinc_hp,Soporte contextual para cabello/piel/unas cuando hay señales dietarias o sintomas compatibles.
2026-06-18.1,RIESGO_CABELLO_PIEL_UNAS,Hierro,contextual,symptom_support,supportive_with_lab,preferred,moderate_high,official_fact_sheet,0.25,nih_ods_iron_hp,Hierro solo debe subir si hay señales compatibles o laboratorio; evitar recomendacion comercial directa sin contexto.
2026-06-18.1,BAJA_INMUNIDAD,Vitamina C,contextual,functional_support,supportive,no,low,official_fact_sheet,0.12,nih_ods_vitamin_c_hp,Soporte antioxidante/inmune contextual; priorizar dieta y no presentar como prevencion de enfermedad.
2026-06-18.1,BAJA_INMUNIDAD,Vitamina D,contextual,functional_support,supportive,preferred,low_moderate,official_fact_sheet,0.12,nih_ods_vitamin_d_hp|nih_ods_immune_function,Soporte contextual de funcion inmune; ideal confirmar estado de vitamina D si se recomienda comercialmente.
2026-06-18.1,BAJA_INMUNIDAD,Selenio,contextual,functional_support,supportive,no,low_moderate,official_fact_sheet,0.16,nih_ods_selenium_hp|nih_ods_immune_function,Selenio participa en funciones antioxidantes e inmunes; evitar exceso y tratar como complemento.
2026-06-18.1,RIESGO_SALUD_OSEA,Vitamina K,contextual,bone_health_support,supportive,no,moderate,official_fact_sheet,0.18,nih_ods_vitamin_k_hp,Soporte contextual de salud osea; precaucion relevante si usa anticoagulantes tipo warfarina.
2026-06-18.1,RIESGO_CABELLO_PIEL_UNAS,Biotina,low_moderate,symptom_support,supportive,no,low,official_fact_sheet,0.22,nih_ods_biotin_hp,"Biotina se asocia a cabello/piel/unas, pero la evidencia para beneficio en poblacion general es limitada."
2026-06-18.1,ESTRES_SUENO,Melatonina,contextual,sleep_timing_support,supportive,no,low_moderate,official_health_resource,0.18,nccih_melatonin_sleep,Puede apoyar problemas de horario de sueno o latencia; no debe presentarse como solucion de insomnio cronico.
2026-06-18.1,RENDIMIENTO_DEPORTIVO,Proteina,contextual,dietary_gap_support,supportive,no,low_moderate,medical_reference,0.12,nih_medlineplus_supplements,Soporte si hay brecha proteica estimada; priorizar ingesta dietaria y objetivo deportivo.
2026-06-18.1,SAFETY_TIROIDEA,Yodo,contextual,safety_sensitive_nutrient,safety_context,preferred,moderate_high,official_fact_sheet,0.35,nih_ods_iodine_hp|medlineplus_thyroid_tests,Nutriente sensible para tiroides; no convertir en recomendacion comercial ante safety tiroidea sin evaluacion profesional.
2026-06-18.2,DEFICIT_VIT_D,Calcio,moderate,bone_mineral_support,supportive_with_lab,optional,moderate,official_fact_sheet,0.15,nih_ods_calcium_hp|nih_ods_vitamin_d_hp,Vitamina D y calcio se interpretan juntos para salud ósea; no sustituye evaluación de calcio sérico o dieta.
